15:17:50 [extension:sw] TIMEEND  [ExtensionStore]: Overwriting local store: 62.47509765625 ms
15:17:50 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
15:17:50 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
15:17:50 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
15:17:50 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
15:17:50 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
15:17:50 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
15:17:50 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
15:17:50 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
15:17:50 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
15:17:50 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
15:17:50 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
15:17:50 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
15:17:50 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
15:17:50 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
15:17:50 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
15:17:50 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
15:17:53 [extension:sw] TIMEEND  [ExtensionStore]: Overwriting local store: 75.89013671875 ms
15:17:55 [extension:sw] ERROR  A query that was dehydrated as pending ended up rejecting. [["MoneyAccountBalanceService:getMoneyAccountBalance","0xf62b4ed01965f4dabc34a1297845124f2421ef95"]]: Error: Execution prevented because the circuit breaker is open; The error will be redacted in production builds
15:17:55 [extension:sw] TIMEEND  [ExtensionStore]: Overwriting local store: 50.037109375 ms
15:17:58 [extension:sw] INFO  RPC (npm:@metamask/tron-wallet-snap): Object -> Object
15:17:58 [extension:sw] INFO  RPC (npm:@metamask/bitcoin-wallet-snap): Object -> Object
15:17:58 [extension:sw] INFO  RPC (npm:@metamask/tron-wallet-snap): Object -> Object
15:17:58 [extension:sw] INFO  RPC (npm:@metamask/tron-wallet-snap): Object -> Object
15:17:58 [extension:sw] INFO  RPC (npm:@metamask/bitcoin-wallet-snap): Object -> Object
15:17:58 [extension:sw] INFO  RPC (npm:@metamask/tron-wallet-snap): Object -> Object
15:17:58 [extension:sw] INFO  RPC (npm:@metamask/tron-wallet-snap): Object -> Object
15:17:58 [extension:sw] INFO  RPC (npm:@metamask/bitcoin-wallet-snap): Object -> Object
15:17:58 [extension:sw] INFO  RPC (npm:@metamask/bitcoin-wallet-snap): Object -> Object
15:17:58 [extension:sw] TIMEEND  [ExtensionStore]: Overwriting local store: 71.13916015625 ms
15:17:58 [extension:sw] INFO  RPC (npm:@metamask/stellar-wallet-snap): Object -> Object
15:17:58 [extension:sw] INFO  RPC (npm:@metamask/stellar-wallet-snap): Object -> Object
15:17:58 [extension:sw] INFO  RPC (npm:@metamask/stellar-wallet-snap): Object -> Object
15:17:58 [extension:sw] INFO  RPC (npm:@metamask/stellar-wallet-snap): Object -> Object
15:17:58 [extension:sw] INFO  RPC (npm:@metamask/stellar-wallet-snap): Object -> Object
15:17:59 [extension:sw] INFO  RPC (npm:@metamask/tron-wallet-snap): Object -> Object
15:17:59 [extension:sw] INFO  RPC (npm:@metamask/tron-wallet-snap): Object -> Object
15:17:59 [extension:sw] INFO  RPC (npm:@metamask/tron-wallet-snap): Object -> Object
15:18:00 [extension:sw] INFO  RPC (npm:@metamask/institutional-wallet-snap): Object -> Object
15:18:00 [extension:sw] INFO  RPC (npm:@metamask/institutional-wallet-snap): Object -> Object
15:18:00 [extension:sw] INFO  RPC (npm:@metamask/bitcoin-wallet-snap): Object -> Object
15:18:01 [extension:sw] INFO  RPC (npm:@metamask/tron-wallet-snap): Object -> Object
15:18:01 [extension:sw] INFO  RPC (npm:@metamask/tron-wallet-snap): Object -> Object
15:18:01 [extension:sw] INFO  RPC (npm:@metamask/tron-wallet-snap): Object -> Object
15:18:01 [extension:sw] INFO  RPC (npm:@metamask/tron-wallet-snap): Object -> Object
15:18:01 [extension:sw] INFO  RPC (npm:@metamask/tron-wallet-snap): Object -> Object
15:18:01 [extension:sw] INFO  RPC (npm:@metamask/tron-wallet-snap): Object -> Object
15:18:01 [extension:sw] TIMEEND  [ExtensionStore]: Overwriting local store: 63.634033203125 ms
15:18:03 [extension:sw] TIMEEND  [ExtensionStore]: Overwriting local store: 71.7080078125 ms
