20:07:05 [extension:sw] TIMEEND  [ExtensionStore]: Overwriting local store: 59.2119140625 ms
20:07:13 [extension:sw] INFO  RPC (npm:@metamask/bitcoin-wallet-snap): Object -> Object
20:07:13 [extension:sw] INFO  RPC (npm:@metamask/bitcoin-wallet-snap): Object -> Object
20:07:13 [extension:sw] INFO  RPC (npm:@metamask/bitcoin-wallet-snap): Object -> Object
20:07:13 [extension:sw] INFO  RPC (npm:@metamask/stellar-wallet-snap): Object -> Object
20:07:13 [extension:sw] INFO  RPC (npm:@metamask/stellar-wallet-snap): Object -> Object
20:07:13 [extension:sw] INFO  RPC (npm:@metamask/stellar-wallet-snap): Object -> Object
20:07:13 [extension:sw] INFO  RPC (npm:@metamask/stellar-wallet-snap): Object -> Object
20:07:14 [extension:sw] INFO  RPC (npm:@metamask/stellar-wallet-snap): Object -> Object
20:07:14 [extension:sw] INFO  RPC (npm:@metamask/tron-wallet-snap): Object -> Object
20:07:14 [extension:sw] INFO  RPC (npm:@metamask/tron-wallet-snap): Object -> Object
20:07:14 [extension:sw] INFO  RPC (npm:@metamask/tron-wallet-snap): Object -> Object
20:07:14 [extension:sw] INFO  RPC (npm:@metamask/tron-wallet-snap): Object -> Object
20:07:14 [extension:sw] INFO  RPC (npm:@metamask/tron-wallet-snap): Object -> Object
20:07:14 [extension:sw] INFO  RPC (npm:@metamask/bitcoin-wallet-snap): Object -> Object
20:07:14 [extension:sw] INFO  RPC (npm:@metamask/tron-wallet-snap): Object -> Object
20:07:14 [extension:sw] INFO  RPC (npm:@metamask/tron-wallet-snap): Object -> Object
20:07:14 [extension:sw] INFO  RPC (npm:@metamask/tron-wallet-snap): Object -> Object
20:07:14 [extension:sw] INFO  RPC (npm:@metamask/tron-wallet-snap): Object -> Object
20:07:14 [extension:sw] INFO  RPC (npm:@metamask/tron-wallet-snap): Object -> Object
20:07:14 [extension:sw] INFO  RPC (npm:@metamask/tron-wallet-snap): Object -> Object
20:07:15 [extension:sw] TIMEEND  [ExtensionStore]: Overwriting local store: 58.346923828125 ms
20:07:21 [extension:sw] TIMEEND  [ExtensionStore]: Overwriting local store: 70.867919921875 ms
20:07:23 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
20:07:23 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
